index;batch;product;date;month;quarter;year;year_quarter;api_reference;api_water;api_impurities;api_content;api_d10;api_d50;api_d90;lactose_water;smcc_water;smcc_d10;smcc_d50;smcc_d90;starch_water;SREL;compforce_mean;compforce_std;tensile_strengh;thickness;mass;hardness;yield;dissolution;impurities
115;B115;Product 1;03/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.391190476;4.66202381;0.053468041;1.596963313;3.4;113;52;98.106;89.17;0.11
116;B116;Product 1;03/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.801518692;4.565303738;0.050256896;1.535541647;3.4;112.5;50;99.621;91.33;0.12
124;B124;Product 1;04/03/2019;3;Q1;2019;2019-Q1;Ref_1;2.16;0.05;94.1;2.42;49.43;158.22;0.07;4.718;31.909;111.443;236.754;3.167;6.45571066;5.150063532;0.065065018;1.328941498;3.3;112;42;91.288;92.83;0.06
125;B125;Product 1;05/03/2019;3;Q1;2019;2019-Q1;Ref_1;2.16;0.05;94.1;2.42;49.43;158.22;0.07;4.718;31.909;111.443;236.754;3.167;5.553422983;4.658435208;0.064384831;1.504830814;3.3;113;49;96.212;96.5;0.08
126;B126;Product 1;05/03/2019;3;Q1;2019;2019-Q1;Ref_1;2.16;0.05;94.1;2.42;49.43;158.22;0.07;4.718;31.909;111.443;236.754;3.167;5.925886525;4.355082742;0.068397932;1.455507355;3.3;112;46;98.864;92.83;0.06
127;B127;Product 1;07/03/2019;3;Q1;2019;2019-Q1;Ref_1;2.16;0.05;94.1;2.42;49.43;158.22;0.07;4.718;31.909;111.443;236.754;3.167;6.261251504;4.255716005;0.061412578;1.487148819;3.3;110.5;47;96.97;95;0.06
128;B128;Product 1;09/03/2019;3;Q1;2019;2019-Q1;Ref_1;2.16;0.05;94.1;2.42;49.43;158.22;0.07;4.718;31.909;111.443;236.754;3.167;6.369027611;4.352821128;0.06947494;1.645356141;3.3;112;52;97.727;94.67;0.06
129;B129;Product 1;11/03/2019;3;Q1;2019;2019-Q1;Ref_1;2.16;0.05;94.1;2.42;49.43;158.22;0.07;4.718;31.909;111.443;236.754;3.167;6.440560292;4.253349574;0.06289062;1.550431748;3.3;111.5;49;96.212;95.83;0.09
130;B130;Product 1;11/03/2019;3;Q1;2019;2019-Q1;Ref_1;2.16;0.05;94.1;2.42;49.43;158.22;0.07;4.718;31.909;111.443;236.754;3.167;6.770299401;4.454730539;0.063744228;2.056695176;3.3;112.5;65;98.485;94.5;0.11
131;B131;Product 1;12/03/2019;3;Q1;2019;2019-Q1;Ref_1;2.16;0.05;94.1;2.42;49.43;158.22;0.07;4.718;31.909;111.443;236.754;3.167;6.889022919;4.361399276;0.068848156;1.708639069;3.3;111.5;54;96.591;95;0.09
132;B132;Product 1;12/03/2019;3;Q1;2019;2019-Q1;Ref_1;2.16;0.05;94.1;2.42;49.43;158.22;0.07;4.718;31.909;111.443;236.754;3.167;7.119019139;4.160047847;0.064423729;1.613714676;3.3;112;51;97.348;95.5;0.09
133;B133;Product 1;12/03/2019;3;Q1;2019;2019-Q1;Ref_1;2.16;0.05;94.1;2.42;49.43;158.22;0.07;4.718;31.909;111.443;236.754;3.167;6.929854369;4.258737864;0.063102141;1.676997605;3.3;112.5;53;96.212;96;0.09
118;B118;Product 3;13/03/2019;3;Q1;2019;2019-Q1;Ref_2;1.64;0.07;94.6;0;21.52;163.819;0.07;4.718;31.909;111.443;236.754;3.167;3.9267786;10.25927718;0.151285002;1.123583088;3.8;224;61;96.553;90;0.09
119;B119;Product 3;13/03/2019;3;Q1;2019;2019-Q1;Ref_2;1.64;0.07;94.6;0;21.52;163.819;0.07;4.718;31.909;111.443;236.754;3.167;4.342841037;9.113278827;0.269079905;0.902550349;3.7;223.5;49;96.098;89.33;0.09
120;B120;Product 3;14/03/2019;3;Q1;2019;2019-Q1;Ref_2;1.64;0.07;94.6;0;21.52;163.819;0.07;4.718;31.909;111.443;236.754;3.167;3.687472036;9.460363636;0.139682996;0.945860818;3.7;225;50;98.826;93.83;0.09
121;B121;Product 3;15/03/2019;3;Q1;2019;2019-Q1;Ref_2;0.71;0.07;95.4;0;40.27;190.234;0.07;4.718;31.909;111.443;236.754;3.167;3.649103641;9.555994398;0.212996553;1.002612468;3.7;225;53;99.583;93;0.15
122;B122;Product 3;15/03/2019;3;Q1;2019;2019-Q1;Ref_2;0.71;0.07;95.4;0;40.27;190.234;0.05;4.718;31.909;111.443;236.754;3.167;3.508354359;8.953660589;0.115670021;0.879408033;3.9;224;49;98.75;89.67;0.09
123;B123;Product 4;15/03/2019;3;Q1;2019;2019-Q1;Ref_2;0.71;0.07;95.4;0;40.27;190.234;0.05;4.718;31.909;111.443;236.754;3.167;3.679543358;12.48825565;0.521619425;0.976445139;5.2;448.5;91;98.037;85.17;0.13
134;B134;Product 1;16/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.658837772;4.566464891;0.05046544;1.740280533;3.3;112;55;95.455;90.33;0.21
135;B135;Product 1;17/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.537162954;4.353692849;0.051740454;1.613714676;3.3;111;51;98.106;93;0.12
136;B136;Product 1;18/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.514654162;4.564009379;0.050410148;1.740280533;3.3;113;55;98.864;92.83;0.12
137;B137;Product 1;18/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.390610329;4.057511737;0.052234724;1.550431748;3.3;112.5;49;98.106;90.17;0.26
138;B138;Product 1;19/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.307067138;4.056301531;0.051496323;1.582073212;3.3;112;50;98.106;93.5;0.12
139;B139;Product 1;20/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.257597173;4.157243816;0.051142035;1.618818138;3.3;113.5;52;98.106;91.17;0.18
140;B140;Product 1;22/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.255555556;4.157092199;0.052086033;1.645356141;3.3;113.5;52;98.485;92.67;0.11
141;B141;Product 1;23/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.14653349;4.158871915;0.051797309;1.645356141;3.3;113.5;52;98.864;94;0.14
142;B142;Product 2;24/03/2019;3;Q1;2019;2019-Q1;Ref_5;1.16;0.19;94.9;1.54;39.79;170.963;0.05;4.718;31.909;111.443;236.754;3.167;5.189184646;7.678257215;0.540934449;1.634007869;2.7;113;51;97.396;91.33;0.25
143;B143;Product 2;24/03/2019;3;Q1;2019;2019-Q1;Ref_5;1.16;0.19;94.9;1.54;39.79;170.963;0.05;4.718;31.909;111.443;236.754;3.167;4.200844832;7.15468882;0.061802573;1.634007869;2.8;113;51;97.775;90;0.34
144;B144;Product 2;26/03/2019;3;Q1;2019;2019-Q1;Ref_5;1.16;0.19;94.9;1.54;39.79;170.963;0.05;4.718;31.909;111.443;236.754;3.167;4.443843336;7.359087067;0.058637869;1.579718936;2.8;113;50;97.964;91.67;0.23
145;B145;Product 4;26/03/2019;3;Q1;2019;2019-Q1;Ref_1;1.73;0.05;94.5;2.52;52.78;179.602;0.05;4.718;31.909;111.443;236.754;3.167;3.861391475;9.637383635;0.246462848;1.082790649;5.3;444.5;91;96.367;84.83;0.07
146;B146;Product 4;27/03/2019;3;Q1;2019;2019-Q1;Ref_1;1.73;0.05;94.5;2.52;52.78;179.602;0.05;4.718;31.909;111.443;236.754;3.167;4.231449275;9.658357488;0.097007958;1.082790649;5.3;445.5;91;97.692;88.83;0.05
147;B147;Product 4;28/03/2019;3;Q1;2019;2019-Q1;Ref_1;1.73;0.05;94.5;2.52;52.78;179.602;0.05;4.718;31.909;111.443;236.754;3.167;4.25801564;9.727761486;0.202796039;1.070891851;5.3;450.5;90;97.341;85.83;0.05
148;B148;Product 4;28/03/2019;3;Q1;2019;2019-Q1;Ref_1;1.83;0.05;94.4;1.68;34.05;156.921;0.05;4.718;31.909;111.443;236.754;3.167;4.650121418;9.295628946;0.223781291;1.070891851;5.3;448.5;90;97.77;90;0.06
150;B150;Product 3;02/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.16;0.19;94.9;1.54;39.79;170.963;0.05;4.718;31.909;111.443;236.754;3.589;2.961930391;9.455096913;0.230254425;0.987090649;3.9;225;55;98.485;86.5;0.28
151;B151;Product 3;02/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.09;0.2;95;1.16;20.25;137.208;0.05;4.718;31.909;111.443;236.754;3.589;3.038445002;9.759011107;0.15585453;0.969143546;3.8;222.5;54;98.295;85.67;0.2
152;B152;Product 3;03/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.09;0.2;95;1.16;20.25;137.208;0.05;4.718;31.909;111.443;236.754;3.589;3.061031519;9.257772206;0.151844438;1.005037752;3.9;223.5;56;98.343;88.33;0.21
153;B153;Product 4;03/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.09;0.2;95;1.16;20.25;137.208;0.05;4.718;31.909;111.443;236.754;3.589;4.799774359;8.957497436;0.206835125;1.002594952;5.3;451;85;98.161;88.83;0.3
154;B154;Product 2;03/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.2;0.21;94.8;1.51;37.55;177.532;0.05;4.664;31.724;115.116;252.232;3.589;6.129054509;5.127919892;0.690681244;1.654802048;3.3;114;53;97.964;93.17;0.28
155;B155;Product 2;04/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.2;0.21;94.8;1.51;37.55;177.532;0.05;4.664;31.724;115.116;252.232;3.589;6.214846538;5.050829913;0.075086099;1.801454031;3.3;114;56;98.343;93.17;0.29
156;B156;Product 2;04/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.2;0.21;94.8;1.51;37.55;177.532;0.05;4.664;31.724;115.116;252.232;3.589;5.468477876;5.365988321;0.77984829;1.833622853;3.2;114;57;98.958;89.5;0.27
157;B157;Product 2;04/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.2;0.21;94.8;1.51;37.55;177.532;0.05;4.664;31.724;115.116;252.232;3.589;5.634232476;4.559602414;0.080854558;1.897960497;3.3;112.5;59;99.053;92.5;0.26
158;B158;Product 3;04/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.58;0.19;94.5;1.33;23.32;150.697;0.05;4.664;31.724;115.116;252.232;3.589;3.552325169;7.056194533;0.085393486;1.100888574;3.9;224.5;56;98.343;86;0.34
159;B159;Product 3;05/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.2;0.21;94.8;1.51;37.55;177.532;0.05;4.664;31.724;115.116;252.232;3.589;4.170513274;6.461946903;0.069852364;1.08122985;4;225;55;99.195;88.67;0.33
160;B160;Product 3;05/04/2019;4;Q2;2019;2019-Q2;Ref_5;0.51;0.18;95.5;1.22;18.39;126.948;0.05;4.664;31.724;115.116;252.232;3.589;3.474894068;6.254060734;0.061286403;0.978141416;4.1;224.5;51;99.006;86.83;0.28
161;B161;Product 3;06/04/2019;4;Q2;2019;2019-Q2;Ref_5;0.51;0.18;95.5;1.22;18.39;126.948;0.05;4.664;31.724;115.116;252.232;3.589;4.632404795;5.771040564;0.435805871;1.035679147;4.1;225.5;54;98.816;88.17;0.28
162;B162;Product 2;06/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.83;0.05;94.4;1.68;34.05;156.921;0.05;4.664;31.724;115.116;252.232;3.589;6.00838962;3.555217778;0.083816077;1.561134008;3.4;113;50;97.964;87;0.05
163;B163;Product 2;07/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.01;0.05;95.2;1.11;8.31;105.949;0.05;4.664;31.724;115.116;252.232;3.589;5.862675931;3.353895525;0.104582403;1.60752199;3.4;112;53;97.822;94.17;0.05
164;B164;Product 3;08/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.74;0.05;94.5;1.73;32.15;144.872;0.05;4.664;31.724;115.116;252.232;3.589;6.592837157;5.954371681;0.103014943;0.939782929;4;226;49;98.864;89.83;0.05
165;B165;Product 3;08/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.74;0.05;94.5;1.73;32.15;144.872;0.05;4.664;31.724;115.116;252.232;3.589;6.59010989;5.951067616;0.105932596;1.002594952;4;223.5;51;98.106;88.83;0.05
166;B166;Product 3;09/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.74;0.05;94.5;1.73;32.15;144.872;0.05;4.664;31.724;115.116;252.232;3.589;6.562773465;5.955469027;0.105510367;1.002594952;4;227.5;51;99.1;88.83;0.05
167;B167;Product 3;09/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.01;0.05;95.2;1.11;8.31;105.949;0.05;4.664;31.724;115.116;252.232;3.589;7.054492255;4.756711047;0.095662479;0.879961956;4.1;225.5;47;97.727;91;0.05
168;B168;Product 3;10/04/2019;4;Q2;2019;2019-Q2;Ref_1;2.07;0.05;94.2;2.75;55.62;191.724;0.05;4.664;31.724;115.116;252.232;3.589;5.43192389;5.955730096;0.077576073;0.943618778;4;225.5;48;98.485;88.33;0.05
169;B169;Product 3;10/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.83;0.05;94.4;1.78;31.94;140.164;0.05;4.664;31.724;115.116;252.232;3.589;5.617887857;5.95567701;0.095763156;0.967814131;3.9;223.5;48;99.384;88.5;0.05
170;B170;Product 3;11/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.83;0.05;94.4;1.78;31.94;140.164;0.05;4.664;31.724;115.116;252.232;3.589;5.676023945;6.155244507;0.086438413;1.002594952;4;225.5;51;98.532;85.67;0.05
171;B171;Product 3;12/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.83;0.05;94.4;1.78;31.94;140.164;0.05;4.664;31.724;115.116;252.232;1.886;5.48001376;6.760411493;0.096500004;1.120547299;4;228.5;57;99.384;83.83;0.05
172;B172;Product 2;12/04/2019;4;Q2;2019;2019-Q2;Ref_1;2.06;0.05;94.2;2.04;44.19;158.334;0.05;4.664;31.724;115.116;252.232;1.886;5.754647237;3.954913808;0.094453009;1.592356688;3.4;113;51;98.485;92.33;0.05
173;B173;Product 2;12/04/2019;4;Q2;2019;2019-Q2;Ref_1;2.06;0.05;94.2;2.04;44.19;158.334;0.05;4.664;31.724;115.116;252.232;1.886;5.775410995;4.055753933;0.109126668;1.529911328;3.3;112.5;49;99.479;88;0.05
174;B174;Product 2;12/04/2019;4;Q2;2019;2019-Q2;Ref_1;2.06;0.05;94.2;2.04;44.19;158.334;0.05;4.664;31.724;115.116;252.232;1.886;5.5759908;4.658492569;0.115006064;1.835204926;3.3;112.5;58;99.195;91.83;0.05
175;B175;Product 4;12/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.69;0.05;94.5;1.68;34.48;146.197;0.05;4.664;31.724;115.116;252.232;1.886;4.899505929;10.45;0.111831029;1.035195456;5.3;449;87;97.029;87.92;0.05
176;B176;Product 4;15/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.76;0.05;94.5;1.9;41.23;160.454;0.05;4.664;31.724;115.116;252.232;1.886;4.722329628;10.85447076;0.111849118;1.130385842;5.3;449.5;95;98.979;87.5;0.05
177;B177;Product 4;16/04/2019;4;Q2;2019;2019-Q2;Ref_1;2.23;0.05;94;1.89;37.12;148;0.05;4.664;31.724;115.116;252.232;1.886;5.165007466;9.550249004;0.111920045;0.992668269;5.4;451;85;96.094;89.33;0.05
178;B178;Product 4;16/04/2019;4;Q2;2019;2019-Q2;Ref_1;1.76;0.05;94.5;1.9;41.23;160.454;0.05;4.664;31.724;115.116;252.232;1.886;4.994126285;10.75770925;0.132898965;1.118487044;5.3;449;94;98.238;88.5;0.06
179;B179;Product 4;17/04/2019;4;Q2;2019;2019-Q2;Ref_1;2.23;0.05;94;1.89;37.12;148;0.05;4.664;31.724;115.116;252.232;1.886;4.11051109;11.16171649;0.121536015;1.058993052;5.3;447;89;99.446;85.83;0.06
180;B180;Product 2;17/04/2019;4;Q2;2019;2019-Q2;Ref_5;0.51;0.18;95.5;1.22;18.39;126.948;0.055;4.718;31.909;111.443;236.754;1.886;4.434630147;4.710397767;0.158304296;1.670466462;2.9;111.5;54;97.159;88.83;0.27
181;B181;Product 2;17/04/2019;4;Q2;2019;2019-Q2;Ref_5;0.51;0.18;95.5;1.22;18.39;126.948;0.055;4.718;31.909;111.443;236.754;1.886;4.260705596;4.758394161;0.080972236;1.668183197;3;113.5;55;99.1;88;0.28
182;B182;Product 2;18/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.4;0.18;94.7;1.63;41.73;167.095;0.055;4.718;31.909;111.443;236.754;1.886;4.922652317;5.358263889;0.058437487;1.525074011;2.9;112.5;51;98.911;89.83;0.21
183;B183;Product 2;18/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.4;0.18;94.7;1.63;41.73;167.095;0.055;4.718;31.909;111.443;236.754;1.886;4.974618321;5.354875087;0.063575312;1.555750787;2.9;112.5;51;99.1;90.83;0.23
184;B184;Product 3;19/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.66;0.2;94.4;1.26;19.82;132.601;0.055;4.586;35.309;126.824;260.205;1.886;3.14961885;9.655162855;0.131060533;0.968450851;3.8;225;52;97.869;85.67;0.24
185;B185;Product 3;19/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.66;0.2;94.4;1.26;19.82;132.601;0.055;4.586;35.309;126.824;260.205;1.886;3.185074627;9.456987788;0.139422302;0.969143546;3.9;223.5;54;98.864;86.5;0.23
186;B186;Product 3;19/04/2019;4;Q2;2019;2019-Q2;Ref_5;0.95;0.18;95.1;2.33;39.87;176.738;0.055;4.586;35.309;126.824;260.205;1.886;3.289380531;9.562763785;0.187797319;0.951196444;3.9;223.5;53;98.911;88.83;0.22
187;B187;Product 3;21/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.4;0.18;94.7;1.63;41.73;167.095;0.055;4.586;35.309;126.824;260.205;1.886;3.223763066;9.662369338;0.205652251;0.976227929;3.8;225;53;98.532;88.17;0.24
188;B188;Product 2;22/04/2019;4;Q2;2019;2019-Q2;Ref_3;1.85;0.5;93.8;3.82;47.86;177.89;0.055;4.586;35.309;126.824;260.205;1.886;4.633239733;6.361705862;0.062261261;1.771921997;3.2;114;56;98.816;93.83;0.2
189;B189;Product 2;22/04/2019;4;Q2;2019;2019-Q2;Ref_3;1.85;0.46;93.8;3.82;47.86;177.89;0.055;4.586;35.309;126.824;260.205;1.886;4.885227075;5.558578645;0.062983325;1.645356141;3.2;113;52;99.384;91.5;0.13
190;B190;Product 2;22/04/2019;4;Q2;2019;2019-Q2;Ref_3;1.85;0.46;93.8;3.82;47.86;177.89;0.055;4.586;35.309;126.824;260.205;1.886;5.051638773;5.154532775;0.059027498;1.576272277;3.3;114;49;99.242;90.33;0.18
191;B191;Product 3;23/04/2019;4;Q2;2019;2019-Q2;Ref_3;1.85;0.48;93.8;3.82;47.86;177.89;0.055;4.586;35.309;126.824;260.205;1.886;3.395393359;7.431229435;0.637572738;1.120547299;4;226.5;57;98.153;87.92;0.06
192;B192;Product 3;23/04/2019;4;Q2;2019;2019-Q2;Ref_3;1.75;0.48;94;3.64;46.34;162.19;0.055;4.586;35.309;126.824;260.205;1.886;3.310601125;6.859105715;0.091237054;1.08122985;4;225;55;99.242;88.17;0.14
193;B193;Product 3;24/04/2019;4;Q2;2019;2019-Q2;Ref_3;1.75;0.48;94;3.64;46.34;162.19;0.055;4.586;35.309;126.824;260.205;1.886;5.807503556;6.052508004;0.144913545;0.943618778;4;225.5;48;98.911;90.33;0.1
194;B194;Product 3;24/04/2019;4;Q2;2019;2019-Q2;Ref_3;1.75;0.33;94;3.64;46.34;162.19;0.055;4.586;35.309;126.824;260.205;1.886;5.808868393;6.459311813;0.088403281;1.041912401;4;228;53;99.384;88.5;0.05
195;B195;Product 4;25/04/2019;4;Q2;2019;2019-Q2;Ref_3;1.75;0.38;94;3.64;46.34;162.19;0.055;4.586;35.309;126.824;260.205;1.886;3.663408896;10.15233858;0.094424987;1.166082237;5.2;451.5;98;97.025;88.17;0.06
196;B196;Product 3;25/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.58;0.19;94.5;1.33;23.32;150.697;0.055;4.586;35.309;126.824;260.205;1.886;6.234917798;5.051751251;0.101201963;0.893273264;4.1;225.5;46;98.532;85.33;0.27
197;B197;Product 3;25/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.58;0.19;94.5;1.33;23.32;150.697;0.055;4.586;35.309;126.824;260.205;1.886;6.116791711;5.557127546;0.113012087;0.990368184;4.1;228.5;51;98.295;87.33;0.26
198;B198;Product 3;27/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.28;0.18;94.8;1.46;38.69;185.322;0.055;4.586;35.309;126.824;260.205;1.886;5.901769912;5.854941552;0.105833678;1.054936306;4;227;53;98.674;87.67;0.24
199;B199;Product 3;27/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.28;0.18;94.8;1.46;38.69;185.322;0.055;4.586;35.309;126.824;260.205;1.886;5.200502332;5.455651238;0.096266435;0.9709492;4.1;227.5;50;98.295;86.33;0.22
200;B200;Product 3;27/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.28;0.18;94.8;1.46;38.69;185.322;0.055;4.586;35.309;126.824;260.205;1.886;3.565380454;6.659358096;0.087554678;1.087463104;4.1;226.5;56;97.491;88.42;0.25
201;B201;Product 3;28/04/2019;4;Q2;2019;2019-Q2;Ref_5;1.28;0.18;94.8;1.46;38.69;185.322;0.055;4.586;35.309;126.824;260.205;1.886;4.077224199;6.05594306;0.096403372;1.054936306;4;229;53;98.958;90.83;0.27
202;B202;Product 3;01/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.28;0.18;94.8;1.46;38.69;185.322;0.055;4.586;35.309;126.824;260.205;1.886;4.050142349;5.758469751;0.082854511;0.990368184;4.1;227.5;51;99.006;86.67;0.22
203;B203;Product 3;02/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.63;0.21;94.4;1.2;23.47;113.423;0.055;4.586;35.309;126.824;260.205;1.886;4.505378627;5.860191083;0.096691274;1.074840764;4;226;54;99.384;87.25;0.29
204;B204;Product 3;03/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.63;0.21;94.4;1.2;23.47;113.423;0.055;4.586;35.309;126.824;260.205;1.886;4.256914326;5.956807679;0.089970228;1.08122985;4;228.5;55;99.479;84.33;0.3
205;B205;Product 3;05/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.63;0.21;94.4;1.2;23.47;113.423;0.055;4.586;35.309;126.824;260.205;1.886;4.220729979;5.8602764;0.080050021;1.015127389;4;228;51;99.29;83.67;0.27
206;B206;Product 3;05/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.63;0.21;94.4;1.2;23.47;113.423;0.055;4.586;35.309;126.824;260.205;1.886;4.535342368;5.857988588;0.098383393;1.035031847;4;227.5;52;98.816;85.33;0.26
207;B207;Product 3;06/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.63;0.21;94.4;1.2;23.47;113.423;0.055;4.586;35.309;126.824;260.205;1.886;3.391429587;5.952382646;0.102501679;1.015127389;4;229.5;51;99.242;83.67;0.32
210;B210;Product 1;09/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.76;0.19;94.3;1.22;26.86;156.272;0.055;4.586;35.309;126.824;260.205;1.886;4.261309524;3.867619048;0.047074588;1.676997605;3.3;113.5;53;96.97;96.33;0.26
211;B211;Product 1;09/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.76;0.19;94.3;1.22;26.86;156.272;0.055;4.586;35.309;126.824;260.205;1.886;4.468335274;3.665308498;0.048113517;1.740280533;3.3;113;55;98.106;90.67;0.26
212;B212;Product 1;11/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.76;0.19;94.3;1.22;26.86;156.272;0.055;4.586;35.309;126.824;260.205;1.886;4.414369159;3.560397196;0.049174055;1.740280533;3.3;112.5;55;98.485;92.83;0.27
213;B213;Product 1;12/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.76;0.19;94.3;1.22;26.86;156.272;0.055;4.586;35.309;126.824;260.205;1.886;4.766357309;3.556844548;0.052516434;1.835204926;3.3;112.5;58;98.864;91.5;0.31
214;B214;Product 1;13/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.76;0.19;94.3;1.22;26.86;156.272;0.055;4.586;35.309;126.824;260.205;1.886;5.041010576;3.15346651;0.050378261;1.645356141;3.3;112.5;52;97.727;92;0.26
215;B215;Product 1;13/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.76;0.19;94.3;1.22;26.86;156.272;0.055;4.586;35.309;126.824;260.205;1.886;5.011587486;3.156662804;0.050510031;1.613714676;3.3;112.5;51;98.485;95.5;0.26
216;B216;Product 1;14/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.76;0.19;94.3;1.22;26.86;156.272;0.055;4.586;35.309;126.824;260.205;1.886;5.229043684;3.056670602;0.050056836;1.645356141;3.3;112.5;52;97.348;94.5;0.28
217;B217;Product 1;14/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.76;0.19;94.3;1.22;26.86;156.272;0.055;4.586;35.309;126.824;260.205;1.886;5.280023364;3.157593458;0.049919731;1.708639069;3.3;113;54;98.485;95.67;0.26
218;B218;Product 2;14/05/2019;5;Q2;2019;2019-Q2;Ref_5;2.08;0.2;94;1.47;38.66;178.783;0.055;4.586;35.309;126.824;260.205;1.886;5.319618814;7.302220668;1.179168152;1.737116387;3.2;111.5;54;97.348;85.33;0.37
219;B219;Product 2;15/05/2019;5;Q2;2019;2019-Q2;Ref_5;2.08;0.2;94;1.47;38.66;178.783;0.055;4.586;35.309;126.824;260.205;1.886;5.266000348;6.955066922;0.054579565;1.544103455;3.2;112;48;98.769;89.5;0.34
220;B220;Product 2;16/05/2019;5;Q2;2019;2019-Q2;Ref_5;2.08;0.2;94;1.47;38.66;178.783;0.055;4.586;35.309;126.824;260.205;1.886;5.086964129;6.379394258;1.769782981;1.576272277;3.2;112;49;97.538;88.17;0.26
221;B221;Product 2;16/05/2019;5;Q2;2019;2019-Q2;Ref_5;2.08;0.2;94;1.47;38.66;178.783;0.055;4.586;35.309;126.824;260.205;1.886;4.291256736;5.064992178;0.596613272;1.654802048;3.2;113;53;98.532;87.5;0.24
222;B222;Product 2;17/05/2019;5;Q2;2019;2019-Q2;Ref_5;1.77;0.19;94.3;1.58;42.33;189.227;0.055;4.586;35.309;126.824;260.205;1.886;4.158228731;5.370770841;0.136514378;1.686024728;3.3;112.5;54;98.627;86.33;0.24
223;B223;Product 3;18/05/2019;5;Q2;2019;2019-Q2;Ref_2;0.71;0.07;95.4;0;40.27;190.234;0.055;4.586;35.309;126.824;260.205;1.886;4.893909065;7.415384615;0.49405282;0.897355135;3.8;226.5;50;96.553;89.67;0.08
224;B224;Product 3;18/05/2019;5;Q2;2019;2019-Q2;Ref_3;2.05;0.33;93.5;3.73;47.28;180.33;0.055;4.586;35.309;126.824;260.205;1.886;5.163602251;5.953658537;0.123573918;0.815597328;4.1;222.5;42;97.491;91.5;0.28
